Match,Type,Time,Red1,Red1IsSurrogate,Red2,Red2IsSurrogate,Red3,Red3IsSurrogate,Blue1,Blue1IsSurrogate,Blue2,Blue2IsSurrogate,Blue3,Blue3IsSurrogate
M1,Playoff,2024-04-30 13:00:00 -0400 EDT,234,FALSE,3940,FALSE,3890,FALSE,135,FALSE,1720,FALSE,4485,FALSE
M2,Playoff,2024-04-30 13:09:00 -0400 EDT,5484,FALSE,7657,FALSE,4580,FALSE,3494,FALSE,7454,FALSE,2909,FALSE
M3,Playoff,2024-04-30 13:18:00 -0400 EDT,5188,FALSE,1501,FALSE,1555,FALSE,7617,FALSE,45,FALSE,6721,FALSE
M4,Playoff,2024-04-30 13:27:00 -0400 EDT,829,FALSE,71,FALSE,447,FALSE,3176,FALSE,1741,FALSE,3947,FALSE
M5,Playoff,2024-04-30 13:36:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M6,Playoff,2024-04-30 13:45:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M7,Playoff,2024-04-30 13:54:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M8,Playoff,2024-04-30 14:03:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M9,Playoff,2024-04-30 14:12:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M10,Playoff,2024-04-30 14:21:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M11,Playoff,2024-04-30 14:31:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M12,Playoff,2024-04-30 14:40:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
M13,Playoff,2024-04-30 15:00:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
F1,Playoff,2024-04-30 15:20:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
F2,Playoff,2024-04-30 15:40:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
F3,Playoff,2024-04-30 16:00:00 -0400 EDT,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE
