Type,Match,Blue1,Blue2,Blue3,Red1,Red2,Red3
Qualification,1,3494,5188,3176,1720,7617,7657
Qualification,2,829,447,6721,3940,71,2909
Qualification,3,1555,1501,4485,45,4580,7454
Qualification,4,3890,3947,135,234,1741,5484
Qualification,5,1555,3940,7657,5188,45,6721
Qualification,6,4580,7617,829,1741,3947,1501
Qualification,7,4485,5484,2909,7454,234,3176
Qualification,8,447,135,71,3890,1720,3494
Qualification,9,1501,3940,3947,5484,1555,3176
Qualification,10,135,4580,829,7454,4485,3494
Qualification,11,1720,5188,1741,45,234,447
Qualification,12,7657,6721,71,7617,2909,3890
Qualification,13,1555,234,829,447,7454,1720
Qualification,14,7657,5188,3890,3940,1741,135
Qualification,15,7617,3176,6721,4580,4485,71
Qualification,16,5484,3947,45,2909,1501,3494
Qualification,17,4485,6721,3940,135,234,5188
Qualification,18,1555,3494,3947,1501,1720,4580
Qualification,19,2909,1741,45,7617,5484,447
Qualification,20,3176,3890,71,7454,829,7657
Qualification,21,135,1720,45,1555,3940,4580
Qualification,22,5484,3947,7454,71,5188,7617
Qualification,23,7657,2909,234,829,1741,3494
Qualification,24,6721,3890,1501,3176,447,4485
Qualification,25,7617,4580,829,135,5484,5188
Qualification,26,45,71,3940,234,447,3947
Qualification,27,7454,1501,1720,1741,7657,6721
Qualification,28,2909,4485,3176,1555,3494,3890
Qualification,29,7617,1501,447,3940,5188,829
Qualification,30,1555,135,2909,1741,71,7454
Qualification,31,3494,5484,7657,4485,3890,234
Qualification,32,3947,6721,1720,4580,3176,45
Qualification,33,71,5188,3494,829,5484,1501
Qualification,34,234,45,4580,3890,1720,4485
Qualification,35,447,1741,1555,7657,3947,3176
Qualification,36,7617,7454,3940,135,6721,2909
Qualification,37,4485,829,1741,1720,1555,71
Qualification,38,447,2909,5188,4580,3947,7657
Qualification,39,3890,7454,3940,3494,45,7617
Qualification,40,5484,234,6721,1501,3176,135
Qualification,41,4485,45,7657,829,3947,2909
Qualification,42,447,3494,4580,1555,6721,7454
Qualification,43,71,1501,234,135,7617,5188
Qualification,44,3176,3890,1741,3940,5484,1720
Qualification,45,7454,135,2909,3947,4485,5188
Qualification,46,1741,4580,7617,3494,234,3940
Qualification,47,3890,5484,829,45,6721,1555
Qualification,48,1720,3176,71,1501,447,7657
